team,number,name,grade,total_minutes,appearances,total_shoot_1st,total_shoot_2nd,total_shoot,total_goals,goal_rate
朝鮮大学校,14,金 世諒,3,776,10,14,8,22,4,18.2
帝京大学,26,桾澤 琢太,3,768,12,4,7,11,0,0.0
横浜国立大学（神奈川県）,33,中村　朗莞,3,748,10,1,5,6,0,0.0
武蔵大学,8,中里　春輝,4,740,10,7,5,12,0,0.0
学習院大学,16,藤井　冬威,2,737,9,1,1,2,1,50.0
帝京大学,8,桒原 一斗,3,719,13,3,7,10,0,0.0
大東文化大学,11,舘　颯之介,4,717,12,1,6,7,1,14.3
桜美林大学,96,木村　恵真,1,693,13,8,17,25,3,12.0
帝京大学,9,緒方 快青,4,687,13,15,41,56,8,14.3
玉川大学,26,杉山　和勢,2,686,11,0,4,4,0,0.0
桜美林大学,10,石澤　海陽,4,686,9,6,8,14,6,42.9
大東文化大学,10,安藤　　稜人,4,682,8,3,7,10,4,40.0
帝京大学,2,松本 大地,4,675,8,1,1,2,0,0.0
帝京大学,6,近江 智哉,2,665,13,1,4,5,1,20.0
東京経済大学,8,河西　透和,不明,650,9,4,2,6,0,0.0
横浜国立大学（神奈川県）,28,田邉　快斗,1,642,9,4,2,6,0,0.0
桜美林大学,3,岩本　晴,4,635,8,4,4,8,2,25.0
神奈川工科大学（神奈川県）,14,杉本　侑哉,3,630,7,2,2,4,2,50.0
大東文化大学,1,清水　　天斗,4,630,7,0,0,0,0,0.0
大東文化大学,18,青　海斗,3,628,8,1,0,1,0,0.0
武蔵大学,28,藤田　和,2,624,8,3,1,4,0,0.0
帝京大学,16,池内 優介,3,621,13,0,10,10,3,30.0
神奈川工科大学（神奈川県）,5,橋本　晃進,3,619,10,0,0,0,0,0.0
学習院大学,6,神山　晃太,3,617,9,0,1,1,0,0.0
日本大学文理学部,9,遠田 凌,4,612,11,9,4,13,4,30.8
武蔵大学,45,寺田　聡,2,608,9,4,4,8,1,12.5
日本大学文理学部,24,川口 友作,4,606,9,2,1,3,1,33.3
玉川大学,11,中村　隼人,4,600,9,3,2,5,0,0.0
朝鮮大学校,16,高　悠邦,2,598,8,4,1,5,0,0.0
玉川大学,5,松井　琢磨,2,585,7,1,2,3,1,33.3
玉川大学,37,清水　彩生,1,585,7,0,1,1,1,100.0
大東文化大学,47,渡辺　浩史,3,584,7,3,4,7,1,14.3
大東文化大学,88,松本　浩輝,3,574,8,3,0,3,0,0.0
神奈川工科大学（神奈川県）,3,五十嵐　晴生,3,568,9,0,1,1,0,0.0
大東文化大学,96,奥田　大翔,2,562,11,9,5,14,1,7.1
学習院大学,28,加藤   大毅,1,556,7,2,2,4,0,0.0
帝京大学,40,田中　菱,1,553,7,2,4,6,1,16.7
玉川大学,24,前田　陽平,1,550,7,7,7,14,2,14.3
日本大学文理学部,65,千葉　海斗,1,543,8,0,2,2,0,0.0
横浜国立大学（神奈川県）,6,渡邊　元気,2,541,9,6,5,11,0,0.0
学習院大学,2,松本　隆宏,4,536,7,0,0,0,0,0.0
横浜国立大学（神奈川県）,15,櫻井　恵太,2,531,11,1,5,6,0,0.0
武蔵大学,14,石塚　優斗,3,531,7,3,3,6,1,16.7
武蔵大学,4,小野寺　拓巳,2,529,7,0,1,1,0,0.0
大東文化大学,27,津田　　楓真,2,527,7,2,2,4,1,25.0
朝鮮大学校,13,李　京樹,不明,527,7,4,6,10,0,0.0
学習院大学,8,小川　将弥,3,524,8,3,2,5,1,20.0
東京経済大学,3,古澤　友麻,3,522,7,4,2,6,1,16.7
上智大学,81,福尾　涼太,1,521,9,1,2,3,1,33.3
桜美林大学,88,山本　陵聖,4,519,6,0,2,2,0,0.0
大東文化大学,3,雨宮　　壮汰,3,519,7,2,0,2,0,0.0
東京経済大学,29,駒田　晴生,3,501,10,5,11,16,6,37.5
大東文化大学,16,栗栖　晴己,3,493,9,3,3,6,2,33.3
朝鮮大学校,21,朴　創嶺,3,493,8,1,1,2,0,0.0
学習院大学,27,山田   惟斗,1,491,6,4,0,4,1,25.0
大東文化大学,43,並木　俊輔,2,473,11,1,3,4,3,75.0
桜美林大学,15,大崎　陽斗,4,472,7,3,2,5,0,0.0
学習院大学,20,北林　星七,2,472,9,3,1,4,1,25.0
玉川大学,18,佐久間　駿喜,3,468,13,6,2,8,1,12.5
朝鮮大学校,9,金 翔元,4,467,8,3,4,7,2,28.6
東京経済大学,19,山田　士雄,2,458,6,1,5,6,0,0.0
武蔵大学,5,瀧川　穣,4,450,5,1,2,3,0,0.0
帝京大学,4,福平 太一,4,450,5,2,1,3,0,0.0
帝京大学,5,小林 侑希,2,450,5,0,2,2,0,0.0
大東文化大学,14,信國　達也,3,438,7,3,3,6,0,0.0
上智大学,19,湯浦　崇斗,1,438,6,0,2,2,0,0.0
学習院大学,4,木内　温大,4,433,5,1,1,2,1,50.0
朝鮮大学校,22,朴　才雄,1,421,6,2,4,6,0,0.0
玉川大学,27,楠山　奈音,3,419,7,1,0,1,0,0.0
大東文化大学,2,猿山　　和輝,4,415,6,1,0,1,0,0.0
大東文化大学,22,髙野　　広大,2,399,6,1,0,1,0,0.0
東京経済大学,4,北林　嶺,3,376,8,0,1,1,0,0.0
玉川大学,15,丸尾　航琉,4,374,7,4,1,5,0,0.0
上智大学,88,廣恒　龍,2,374,6,2,3,5,2,40.0
武蔵大学,10,森田　蓮人,4,367,6,2,6,8,1,12.5
上智大学,32,堀江　風雅,3,364,11,1,6,7,0,0.0
神奈川工科大学（神奈川県）,19,脇屋　颯人,1,363,10,4,2,6,1,16.7
玉川大学,22,歳森　杏介,2,362,12,2,5,7,1,14.3
横浜国立大学（神奈川県）,9,篠崎　開惺,3,361,10,5,5,10,0,0.0
日本大学文理学部,31,伊東　拓海,1,360,4,1,0,1,0,0.0
帝京大学,17,當間 晴琉,3,359,7,4,3,7,1,14.3
武蔵大学,2,久保田　琳,4,355,6,0,2,2,0,0.0
朝鮮大学校,8,朴 創嶺,不明,350,4,1,1,2,0,0.0
朝鮮大学校,27,金　毅昂,2,339,7,4,0,4,2,50.0
桜美林大学,67,細谷　隼生,2,329,10,5,2,7,0,0.0
日本大学文理学部,33,渋谷 竜聖,3,323,4,0,1,1,0,0.0
東京経済大学,28,海老原　寛大,2,318,5,9,3,12,3,25.0
日本大学文理学部,6,大塚 逢祥,3,316,4,1,1,2,0,0.0
玉川大学,19,国谷　康太,3,306,8,1,1,2,0,0.0
武蔵大学,50,甲斐田　裕大,2,303,7,2,9,11,3,27.3
神奈川工科大学（神奈川県）,12,川瀬　桜介,1,301,7,1,2,3,0,0.0
朝鮮大学校,3,李　星琉,1,301,4,0,0,0,0,0.0
東京経済大学,18,新井　悠河,不明,300,4,5,3,8,0,0.0
東京経済大学,21,古垣　大樹,2,298,7,1,9,10,5,50.0
日本大学文理学部,46,鈴木 堅斗,4,292,9,0,4,4,1,25.0
武蔵大学,13,藤倉　空知,3,285,7,2,4,6,0,0.0
大東文化大学,80,石神　瞬,3,279,4,0,0,0,0,0.0
帝京大学,35,古村　大和,3,279,7,4,2,6,1,16.7
帝京大学,11,渡辺 結心,4,273,6,0,3,3,0,0.0
大東文化大学,41,佃　孝太,2,271,4,3,0,3,1,33.3
大東文化大学,31,佐藤　晴翔,2,270,3,0,0,0,0,0.0
武蔵大学,1,重山　武史,4,270,3,0,0,0,0,0.0
日本大学文理学部,98,久場 莉稀,3,270,6,3,0,3,1,33.3
神奈川工科大学（神奈川県）,2,菅原　颯太郎,3,270,4,1,1,2,0,0.0
上智大学,80,大島　千虎,2,268,11,3,2,5,0,0.0
大東文化大学,19,上田　然,3,263,8,1,4,5,1,20.0
玉川大学,13,堀野辺　空,4,260,5,3,0,3,0,0.0
玉川大学,17,上野　兼叶,2,260,6,3,8,11,1,9.1
帝京大学,38,栗田　遼真,1,257,4,0,3,3,0,0.0
武蔵大学,34,島田　康誠,2,255,3,2,1,3,0,0.0
大東文化大学,6,目黒　嵩人,4,254,4,0,1,1,0,0.0
東京経済大学,31,市川　聖龍,1,251,4,0,1,1,0,0.0
朝鮮大学校,23,チョ ヘフィ,4,249,8,0,0,0,0,0.0
大東文化大学,8,萩原　　駆,4,247,4,1,2,3,1,33.3
朝鮮大学校,20,金 星希,4,242,7,0,0,0,0,0.0
大東文化大学,7,笠原　　壮瑠,4,240,6,3,1,4,1,25.0
帝京大学,10,細木 創太,4,239,7,4,4,8,2,25.0
帝京大学,7,内堀 太貴,2,235,6,4,5,9,1,11.1
朝鮮大学校,5,愼 昌樹,4,233,3,0,1,1,0,0.0
神奈川工科大学（神奈川県）,18,前原　海聖,2,224,5,2,2,4,0,0.0
桜美林大学,20,倉橋　正吾,4,223,11,1,7,8,4,50.0
東京経済大学,15,久保寺　壱晟,3,222,9,2,2,4,1,25.0
桜美林大学,9,斎藤　翔太,4,214,7,1,5,6,2,33.3
朝鮮大学校,6,姜 正晃,4,205,5,0,0,0,0,0.0
神奈川工科大学（神奈川県）,6,石塚　快,3,203,5,0,1,1,0,0.0
大東文化大学,13,佐久間　勇斗,3,200,6,0,3,3,0,0.0
武蔵大学,40,泉谷　俊,2,200,4,1,3,4,0,0.0
桜美林大学,31,牧野　歩,1,198,3,3,0,3,0,0.0
横浜国立大学（神奈川県）,11,島田　健央,4,196,8,1,1,2,0,0.0
東京経済大学,24,川村　大樹,2,194,6,0,0,0,1,0.0
武蔵大学,12,川口　陽誠,1,193,4,6,2,8,2,25.0
学習院大学,26,西山   康惺,1,192,3,0,0,0,0,0.0
大東文化大学,46,金子　潤,2,183,3,0,0,0,0,0.0
上智大学,11,笠原　真尋,3,183,6,2,4,6,0,0.0
玉川大学,9,島　任平,2,183,5,0,0,0,0,0.0
日本大学文理学部,5,星 恒輝,3,182,8,0,1,1,0,0.0
上智大学,79,杉崎　皐輔,2,181,3,1,0,1,0,0.0
大東文化大学,12,妹尾　典,4,180,2,0,0,0,0,0.0
大東文化大学,5,池羽　航輝,不明,180,2,1,0,1,0,0.0
大東文化大学,27,津田　楓真,不明,180,2,1,1,2,0,0.0
朝鮮大学校,12,金 利優,4,180,2,0,0,0,0,0.0
武蔵大学,24,永山　泰希,3,180,2,0,2,2,0,0.0
日本大学文理学部,91,嶋﨑 寛大,4,180,2,0,0,0,0,0.0
神奈川工科大学（神奈川県）,25,和田　岳空,1,175,5,0,0,0,0,0.0
横浜国立大学（神奈川県）,19,森下　優之心,2,174,4,1,0,1,0,0.0
武蔵大学,3,中嶋　惇仁,4,173,3,0,1,1,0,0.0
武蔵大学,49,宮本　理央,1,169,8,0,3,3,3,100.0
日本大学文理学部,27,井之上　悠,1,169,2,2,1,3,1,33.3
学習院大学,17,原　壮太,4,166,10,0,3,3,1,33.3
上智大学,17,白坂　航大,4,166,7,0,0,0,0,0.0
神奈川工科大学（神奈川県）,17,大山　和真,2,160,3,0,0,0,0,0.0
武蔵大学,26,池戸　虹成,2,155,4,0,0,0,0,0.0
学習院大学,14,佐藤　友樹,4,155,5,1,1,2,0,0.0
大東文化大学,3,雨宮　壮汰,不明,154,2,0,0,0,0,0.0
日本大学文理学部,19,有田 海志,3,152,3,1,1,2,1,50.0
帝京大学,36,茂木　勇樹,1,152,4,0,1,1,0,0.0
神奈川工科大学（神奈川県）,23,小野　晟和,1,145,4,1,1,2,1,50.0
上智大学,35,大西　十和,1,145,6,1,2,3,0,0.0
大東文化大学,9,熊田　　裕,4,143,3,2,1,3,0,0.0
上智大学,14,関口　雄士,3,137,3,0,1,1,0,0.0
大東文化大学,4,正木　　翠羽,4,130,2,0,1,1,1,100.0
武蔵大学,37,関口　陽大,2,125,3,1,0,1,1,100.0
日本大学文理学部,29,髙山 周,3,125,7,0,1,1,0,0.0
武蔵大学,43,高橋　慶,1,125,2,0,0,0,0,0.0
東京経済大学,14,中島　洋之介,3,116,4,1,3,4,0,0.0
大東文化大学,10,安藤　稜人,不明,109,2,2,1,3,0,0.0
帝京大学,19,佐山 洸士,2,109,2,1,0,1,1,100.0
東京経済大学,27,川畑　宇輝,3,106,2,0,0,0,0,0.0
帝京大学,18,野田 侑聖,2,105,2,3,0,3,0,0.0
日本大学文理学部,11,矢田 涼太郎,3,103,2,0,0,0,0,0.0
上智大学,48,岩永　悠社,不明,100,3,2,1,3,0,0.0
玉川大学,34,坂本　佳晴,2,95,2,0,0,0,0,0.0
横浜国立大学（神奈川県）,37,佐々木　統羽,2,90,1,0,1,1,0,0.0
武蔵大学,21,神田　謙二郎,2,90,1,0,0,0,0,0.0
大東文化大学,1,清水　天斗,不明,90,1,0,0,0,0,0.0
学習院大学,12,加藤   俐功,1,90,1,0,0,0,0,0.0
桜美林大学,55,渋谷　知都,4,90,1,0,0,0,0,0.0
日本大学文理学部,28,谷口 莉都,2,89,6,0,1,1,0,0.0
東京経済大学,18,渡部　隼翔,1,86,1,3,1,4,0,0.0
上智大学,4,須藤　智洋,4,85,4,0,0,0,0,0.0
朝鮮大学校,25,金　昌希,3,75,2,0,0,0,0,0.0
東京経済大学,20,小河原　瑛太,2,73,1,1,6,7,2,28.6
東京経済大学,33,細田　康貴,1,71,1,0,0,0,0,0.0
上智大学,2,唐澤　健太,4,69,1,0,0,0,0,0.0
東京経済大学,23,森田　颯,4,63,2,2,0,2,2,100.0
